Nom,type
3S,group
Air France,group
Air France handling,group
ARSMEX,group
Aviapartner,group
Casavia,group
GEH,group
GH Italia,group
Goldair,group
Groundforce,group
Havas,group
Iberia,group
Melendez,group
Menzies,group
Portway,group
RAM handling,group
SAS handling,group
Sky Handling,group
Skyserv,group
Swissport,group
TACV,group
TS Antilles,group
Tunisair Handling,group
WFS,group
